variant,checkpoint_kind,precision,layer,op_type,mode,classification_source,calls,classifications,observed_input_shapes,observed_output_shapes,observed_time_slices,configured_timestep,input_elems,input_neuron_sites,input_firing_rate_sum,input_positive_sum,input_nonzero,input_min,input_max,integer_like_calls,mean_spike_count_per_input,configured_firing_rate,sop_density_per_executed_mac,nonzero_ratio,dense_macs_total,dense_macs_executed,dense_macs_one_step_equivalent,dense_macs_total_per_image,dense_macs_executed_per_image,dense_macs_one_step_equivalent_per_image,dense_macs_charged,dense_macs_charged_per_image,sop_total,sop_per_image,ac_charged,core_energy_pj,core_energy_pj_per_image,mem_energy_pj,neuron_energy_pj,total_energy_pj,total_energy_pj_per_image
middle,fp,fp,LC3.dconv1x3,conv2d,dense,policy:long_connection_continuous_second_conv,20,"{""dense"": 20}","[[1, 1, 16, 25, 25]]","[[1, 1, 32, 25, 25]]",[1],8,200000,200000.0,29943.95654296875,29943.95654296875,200000,-2.797841787338257,2.4707884788513184,0,,,,1.0,19200000.0,19200000.0,19200000.0,960000.0,960000.0,960000.0,19200000.0,960000.0,0.0,0.0,0.0,19200000.0,960000.0,0.0,0.0,19200000.0,960000.0
middle,fp,fp,final_conv,conv2d,spike,policy:final_event_conv,20,"{""spike"": 20}","[[8, 1, 32, 200, 200]]","[[8, 1, 32, 200, 200]]",[8],8,204800000,25600000.0,13284128.0,106273024.0,76413968,0.0,8.0,20,0.51891125,0.06486390625,0.06486390625,0.373115078125,58982400000.0,58982400000.0,7372800000.0,2949120000.0,2949120000.0,368640000.0,0.0,0.0,3825828864.0,191291443.2,3825828864.0,3825828864.0,191291443.2,0.0,0.0,3825828864.0,191291443.2
middle,fp,fp,classifier.0.conv,conv2d,dense,policy:dense_classifier,20,"{""dense"": 20}","[[8, 1, 32, 400, 400]]","[[8, 1, 6, 400, 400]]",[8],8,819200000,102400000.0,25974527.5625,207796220.5,819200000,-17.033756256103516,14.462224960327148,0,,,,1.0,4915200000.0,4915200000.0,614400000.0,245760000.0,245760000.0,30720000.0,4915200000.0,245760000.0,0.0,0.0,0.0,4915200000.0,245760000.0,0.0,0.0,4915200000.0,245760000.0
middle,fp,fp,transformer1.atten.matmul,attention_matmul,dense,special:EffAttention,20,"{""dense"": 20}","[[1, 625, 288]]","[[1, 625, 288]]",[1],8,3600000,3600000.0,188733.55419921875,188733.55419921875,3600000,-1.1955136060714722,9.562822341918945,0,,,,1.0,560707200.0,560707200.0,560707200.0,28035360.0,28035360.0,28035360.0,560707200.0,28035360.0,0.0,0.0,0.0,560707200.0,28035360.0,0.0,0.0,560707200.0,28035360.0
middle,qat,int4,init_conv.0.conv,conv2d,dense,policy:raw_image_first_conv,20,"{""dense"": 20}","[[8, 1, 3, 400, 400]]","[[8, 1, 32, 400, 400]]",[8],8,76800000,9600000.0,7411175.6328125,59289405.0625,76800000,-2.1179039478302,2.640000104904175,0,,,,1.0,22118400000.0,22118400000.0,2764800000.0,1105920000.0,1105920000.0,138240000.0,22118400000.0,1105920000.0,0.0,0.0,0.0,22118400000.0,1105920000.0,0.0,0.0,22118400000.0,1105920000.0
middle,qat,int4,init_conv.1.conv,conv2d,spike,policy:later_init_convs,20,"{""spike"": 20}","[[8, 1, 32, 400, 400]]","[[8, 1, 64, 400, 400]]",[8],8,819200000,102400000.0,39776263.0,318210104.0,189653792,0.0,8.0,20,0.388440068359375,0.048555008544921875,0.048555008544921875,0.2315109765625,471859200000.0,471859200000.0,58982400000.0,23592960000.0,23592960000.0,2949120000.0,0.0,0.0,22911127488.0,1145556374.4,22911127488.0,22911127488.0,1145556374.4,0.0,0.0,22911127488.0,1145556374.4
middle,qat,int4,init_conv.2.conv,conv2d,spike,policy:later_init_convs,20,"{""spike"": 20}","[[8, 1, 64, 400, 400]]","[[8, 1, 64, 200, 200]]",[8],8,1638400000,204800000.0,42230784.0,337846272.0,278471344,0.0,8.0,20,0.206205,0.025775625,0.025775625,0.169965419921875,235929600000.0,235929600000.0,29491200000.0,11796480000.0,11796480000.0,1474560000.0,0.0,0.0,6081232896.0,304061644.8,6081232896.0,6081232896.0,304061644.8,0.0,0.0,6081232896.0,304061644.8
middle,qat,int4,downsample_1.conv3x3.conv,conv2d,dense,policy:small_middle_downsample_continuous_conv,20,"{""dense"": 20}","[[8, 1, 64, 200, 200]]","[[8, 1, 32, 100, 100]]",[8],8,409600000,51200000.0,30532537.125,244260297.0,409600000,-14.658675193786621,18.428207397460938,0,,,,1.0,29491200000.0,29491200000.0,3686400000.0,1474560000.0,1474560000.0,184320000.0,29491200000.0,1474560000.0,0.0,0.0,0.0,29491200000.0,1474560000.0,0.0,0.0,29491200000.0,1474560000.0
middle,qat,int4,downsample_1.conv,conv2d,spike,policy:small_middle_downsample_event_conv,20,"{""spike"": 20}","[[8, 1, 64, 200, 200]]","[[8, 1, 64, 200, 200]]",[8],8,409600000,51200000.0,14434327.0,115474616.0,95119792,0.0,8.0,20,0.28192044921875,0.03524005615234375,0.03524005615234375,0.2322260546875,235929600000.0,235929600000.0,29491200000.0,11796480000.0,11796480000.0,1474560000.0,0.0,0.0,8314172352.0,415708617.6,8314172352.0,8314172352.0,415708617.6,0.0,0.0,8314172352.0,415708617.6
middle,qat,int4,DAB_Block_1.DAB_Module_1_0.conv1x1_in.conv,conv2d,spike,policy:encoder_and_late_decoder_dab_convs,20,"{""spike"": 20}","[[8, 1, 96, 100, 100]]","[[8, 1, 48, 100, 100]]",[8],8,153600000,19200000.0,3682515.0,29460120.0,23105952,0.0,8.0,20,0.19179765625,0.02397470703125,0.02397470703125,0.150429375,7372800000.0,7372800000.0,921600000.0,368640000.0,368640000.0,46080000.0,0.0,0.0,176760720.0,8838036.0,176760720.0,176760720.0,8838036.0,0.0,0.0,176760720.0,8838036.0
