layer,stage,disagreement_qad_mean,disagreement_ste_mean,disagreement_qad_minus_ste,disagreement_qad_minus_ste_cluster_bootstrap_95ci,disagreement_relative_reduction_fraction,disagreement_relative_reduction_cluster_bootstrap_95ci,disagreement_paired_effect_dz,disagreement_qad_lower_source_count,disagreement_qad_higher_source_count,disagreement_equal_source_count,disagreement_source_count,disagreement_two_sided_exact_sign_p,mae_qad_mean,mae_ste_mean,mae_qad_minus_ste,mae_qad_minus_ste_cluster_bootstrap_95ci,mae_relative_reduction_fraction,mae_relative_reduction_cluster_bootstrap_95ci,mae_paired_effect_dz,mae_qad_lower_source_count,mae_qad_higher_source_count,mae_equal_source_count,mae_source_count,mae_two_sided_exact_sign_p,signed_error_qad_mean,signed_error_ste_mean,signed_error_qad_minus_ste,signed_error_qad_minus_ste_cluster_bootstrap_95ci,signed_error_relative_reduction_fraction,signed_error_relative_reduction_cluster_bootstrap_95ci,signed_error_paired_effect_dz,signed_error_qad_lower_source_count,signed_error_qad_higher_source_count,signed_error_equal_source_count,signed_error_source_count,signed_error_two_sided_exact_sign_p,zero_delta_qad_mean,zero_delta_ste_mean,zero_delta_qad_minus_ste,zero_delta_qad_minus_ste_cluster_bootstrap_95ci,zero_delta_relative_reduction_fraction,zero_delta_relative_reduction_cluster_bootstrap_95ci,zero_delta_paired_effect_dz,zero_delta_qad_lower_source_count,zero_delta_qad_higher_source_count,zero_delta_equal_source_count,zero_delta_source_count,zero_delta_two_sided_exact_sign_p
DAB_Block_5.DAB_Module_5_0.conv1x3.bn_prelu.acti,decoder_5,0.131395,0.12638875,0.005006250000000018,"[0.005006250000000018, 0.005006250000000018]",-0.03960993363728985,"[-0.03960993363728985, -0.03960993363728985]",inf,0,1,0,1,1.0,0.1630075,0.1559625,0.007044999999999996,"[0.007044999999999996, 0.007044999999999996]",-0.04517111485132641,"[-0.04517111485132641, -0.04517111485132641]",inf,0,1,0,1,1.0,-0.023325,-0.0254575,0.0021325000000000024,"[0.0021325000000000024, 0.0021325000000000024]",0.08376706275164499,"[0.08376706275164499, 0.08376706275164499]",inf,0,1,0,1,1.0,0.02235375,0.021804375,0.0005493749999999978,"[0.0005493749999999978, 0.0005493749999999978]",-0.0251956316106285,"[-0.0251956316106285, -0.0251956316106285]",inf,0,1,0,1,1.0
DAB_Block_5.DAB_Module_5_0.conv3x1.bn_prelu.acti,decoder_5,0.24811125,0.2449975,0.0031137499999999985,"[0.0031137499999999985, 0.0031137499999999985]",-0.012709313360340405,"[-0.012709313360340405, -0.012709313360340405]",inf,0,1,0,1,1.0,0.28851,0.27584875,0.012661250000000013,"[0.012661250000000013, 0.012661250000000013]",-0.04589924732303487,"[-0.04589924732303487, -0.04589924732303487]",inf,0,1,0,1,1.0,-0.02764625,-0.027975,0.0003287499999999992,"[0.0003287499999999992, 0.0003287499999999992]",0.011751563896335986,"[0.011751563896335986, 0.011751563896335986]",inf,0,1,0,1,1.0,0.029715625,0.01643125,0.013284374999999998,"[0.013284374999999998, 0.013284374999999998]",-0.8084823126664129,"[-0.8084823126664129, -0.8084823126664129]",inf,0,1,0,1,1.0
DAB_Block_5.DAB_Module_5_0.dconv1x3.bn_prelu.acti,decoder_5,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_5.DAB_Module_5_0.dconv3x1.bn_prelu.acti,decoder_5,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0,0.0,0.0,0.0,"[0.0, 0.0]",nan,"[NaN, NaN]",inf,0,0,1,1,1.0
DAB_Block_5.DAB_Module_5_0.ddconv1x3.bn_prelu.acti,decoder_5,0.14398,0.13366625,0.01031375000000001,"[0.01031375000000001, 0.01031375000000001]",-0.077160464964043,"[-0.077160464964043, -0.077160464964043]",inf,0,1,0,1,1.0,0.2742525,0.249045625,0.025206875000000017,"[0.025206875000000017, 0.025206875000000017]",-0.10121388400217839,"[-0.10121388400217839, -0.10121388400217839]",inf,0,1,0,1,1.0,0.0388,-0.019529375,0.058329375,"[0.058329375, 0.058329375]",2.9867507280698944,"[2.9867507280698944, 2.9867507280698944]",inf,0,1,0,1,1.0,-0.005800625,0.010599375,-0.016399999999999998,"[-0.016399999999999998, -0.016399999999999998]",1.5472610413349843,"[1.5472610413349843, 1.5472610413349843]",inf,1,0,0,1,1.0
DAB_Block_5.DAB_Module_5_0.ddconv3x1.bn_prelu.acti,decoder_5,0.10181625,0.093950625,0.007865625000000001,"[0.007865625000000001, 0.007865625000000001]",-0.083720837407947,"[-0.083720837407947, -0.083720837407947]",inf,0,1,0,1,1.0,0.142775,0.124781875,0.017993125000000013,"[0.017993125000000013, 0.017993125000000013]",-0.14419662310732237,"[-0.14419662310732237, -0.14419662310732237]",inf,0,1,0,1,1.0,0.0118325,-0.031205625,0.043038124999999997,"[0.043038124999999997, 0.043038124999999997]",1.379178433375393,"[1.379178433375393, 1.379178433375393]",inf,0,1,0,1,1.0,-0.000194375,0.013621875,-0.01381625,"[-0.01381625, -0.01381625]",1.0142693278274835,"[1.0142693278274835, 1.0142693278274835]",inf,1,0,0,1,1.0
DAB_Block_6.DAB_Module_6_0.bn_relu.acti,decoder_6,0.436415078125,0.383871484375,0.052543593750000006,"[0.052543593750000006, 0.052543593750000006]",-0.1368780852152871,"[-0.1368780852152871, -0.1368780852152871]",inf,0,1,0,1,1.0,0.610092890625,0.5135528125,0.0965400781250001,"[0.0965400781250001, 0.0965400781250001]",-0.1879847131106893,"[-0.1879847131106893, -0.1879847131106893]",inf,0,1,0,1,1.0,0.132803046875,-0.03708953125,0.169892578125,"[0.169892578125, 0.169892578125]",4.580607314226976,"[4.580607314226976, 4.580607314226976]",inf,0,1,0,1,1.0,-0.010743984375,0.04277078125,-0.053514765625,"[-0.053514765625, -0.053514765625]",1.2511991612264506,"[1.2511991612264506, 1.2511991612264506]",inf,1,0,0,1,1.0
DAB_Block_6.DAB_Module_6_0.ca11.neuron,decoder_6,0.1483728125,0.1243959375,0.02397687500000001,"[0.02397687500000001, 0.02397687500000001]",-0.19274644720612366,"[-0.19274644720612366, -0.19274644720612366]",inf,0,1,0,1,1.0,0.25375171875,0.17816109375,0.07559062500000002,"[0.07559062500000002, 0.07559062500000002]",-0.42428244803026766,"[-0.42428244803026766, -0.42428244803026766]",inf,0,1,0,1,1.0,0.20017921875,0.10674609375,0.09343312499999999,"[0.09343312499999999, 0.09343312499999999]",-0.8752837852673179,"[-0.8752837852673179, -0.8752837852673179]",inf,0,1,0,1,1.0,-0.06996453125,-0.04588203125,-0.024082500000000007,"[-0.024082500000000007, -0.024082500000000007]",-0.5248786800388225,"[-0.5248786800388225, -0.5248786800388225]",inf,1,0,0,1,1.0
DAB_Block_6.DAB_Module_6_0.ca22.neuron,decoder_6,0.0947396875,0.13683578125,-0.04209609375000001,"[-0.04209609375000001, -0.04209609375000001]",0.30763951771569253,"[0.30763951771569253, 0.30763951771569253]",inf,1,0,0,1,1.0,0.1706390625,0.191800625,-0.02116156250000001,"[-0.02116156250000001, -0.02116156250000001]",0.11033104037069748,"[0.11033104037069748, 0.11033104037069748]",inf,1,0,0,1,1.0,0.0004509375,-0.0173615625,0.017812500000000002,"[0.017812500000000002, 0.017812500000000002]",1.025973324693558,"[1.025973324693558, 1.025973324693558]",inf,0,1,0,1,1.0,0.02420609375,-0.0255853125,0.04979140625,"[0.04979140625, 0.04979140625]",1.9460933396846338,"[1.9460933396846338, 1.9460933396846338]",inf,0,1,0,1,1.0
DAB_Block_6.DAB_Module_6_0.conv1x1.bn_prelu.acti,decoder_6,0.262802890625,0.236594140625,0.026208750000000003,"[0.026208750000000003, 0.026208750000000003]",-0.11077514401145158,"[-0.11077514401145158, -0.11077514401145158]",inf,0,1,0,1,1.0,0.318705859375,0.27311359375,0.04559226562500002,"[0.04559226562500002, 0.04559226562500002]",-0.16693517521040646,"[-0.16693517521040646, -0.16693517521040646]",inf,0,1,0,1,1.0,-0.005345859375,-0.06595140625,0.060605546875,"[0.060605546875, 0.060605546875]",0.918942450525837,"[0.918942450525837, 0.918942450525837]",inf,0,1,0,1,1.0,0.026624921875,0.03641625,-0.009791328124999998,"[-0.009791328124999998, -0.009791328124999998]",0.26887249854117323,"[0.26887249854117323, 0.26887249854117323]",inf,1,0,0,1,1.0
