variant,checkpoint_kind,precision,layer,op_type,calls,classifications,input_elems,input_sum,input_nonzero,mean_spikes_per_input,nonzero_ratio,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj
max,qat,int4,DAB_Block_4.DAB_Module_4_0.ddconv3x1.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.ddconv1x3.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_4.DAB_Module_4_0.conv1x1.conv,conv2d,1,"{""spike"": 1}",20000,0.0,0,0.0,0.0,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,upsample_1.conv,conv_transpose2d,1,"{""dense"": 1}",40000,3271.0,3051,0.081775,0.076275,11520000.0,11520000.0,0.0,0.0,11520000.0,0.0,0.0,11520000.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.conv1x1_in.conv,conv2d,1,"{""spike"": 1}",80000,4522.0,4522,0.056525,0.056525,1280000.0,0.0,72352.0,72352.0,72352.0,0.0,0.0,72352.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.conv3x1.conv,conv2d,1,"{""dense"": 1}",40000,1380.0,1379,0.0345,0.034475,1920000.0,1920000.0,0.0,0.0,1920000.0,0.0,0.0,1920000.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.conv1x3.conv,conv2d,1,"{""dense"": 1}",40000,383.0,373,0.009575,0.009325,1920000.0,1920000.0,0.0,0.0,1920000.0,0.0,0.0,1920000.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.dconv3x1.conv,conv2d,1,"{""dense"": 1}",40000,163.0,159,0.004075,0.003975,120000.0,120000.0,0.0,0.0,120000.0,0.0,0.0,120000.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.dconv1x3.conv,conv2d,1,"{""spike"": 1}",40000,0.0,0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,qat,int4,DAB_Block_5.DAB_Module_5_0.ddconv3x1.conv,conv2d,1,"{""dense"": 1}",40000,163.0,159,0.004075,0.003975,120000.0,120000.0,0.0,0.0,120000.0,0.0,0.0,120000.0
