variant,checkpoint_kind,precision,layer,op_type,calls,classifications,input_elems,input_sum,input_nonzero,mean_spikes_per_input,nonzero_ratio,dense_macs_total,dense_macs_charged,sop_total,ac_charged,core_energy_pj,mem_energy_pj,neuron_energy_pj,total_energy_pj
small,fp,fp,DAB_Block_5.DAB_Module_5_0.conv3x1.conv,conv2d,20,"{""spike"": 20}",25600000,10208288.0,7749600,0.39876125,0.30271875,1228800000.0,0.0,61249728.0,61249728.0,61249728.0,0.0,0.0,61249728.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.conv1x3.conv,conv2d,20,"{""spike"": 20}",25600000,7825136.0,6260968,0.305669375,0.2445690625,1228800000.0,0.0,46950816.0,46950816.0,46950816.0,0.0,0.0,46950816.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.dconv3x1.conv,conv2d,20,"{""spike"": 20}",25600000,4652888.0,3724384,0.1817534375,0.14548375,76800000.0,0.0,1744833.0,1744833.0,1744833.0,0.0,0.0,1744833.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.dconv1x3.conv,conv2d,20,"{""spike"": 20}",25600000,0.0,0,0.0,0.0,76800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.ddconv3x1.conv,conv2d,20,"{""spike"": 20}",25600000,4652888.0,3724384,0.1817534375,0.14548375,76800000.0,0.0,1744833.0,1744833.0,1744833.0,0.0,0.0,1744833.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.ddconv1x3.conv,conv2d,20,"{""spike"": 20}",25600000,6521832.0,4547024,0.2547590625,0.177618125,76800000.0,0.0,2445687.0,2445687.0,2445687.0,0.0,0.0,2445687.0
small,fp,fp,DAB_Block_5.DAB_Module_5_0.conv1x1.conv,conv2d,20,"{""dense"": 17, ""spike"": 3}",25600000,9460632.0,5365136,0.3695559375,0.209575625,819200000.0,696320000.0,5115648.0,5115648.0,701435648.0,0.0,0.0,701435648.0
small,fp,fp,upsample_2.conv,conv_transpose2d,20,"{""dense"": 9, ""spike"": 11}",51200000,40400368.0,25458456,0.7890696875,0.49723546875,14745600000.0,6635520000.0,776930976.0,776930976.0,7412450976.0,0.0,0.0,7412450976.0
small,fp,fp,DAB_Block_6.DAB_Module_6_0.conv1x1_in.conv,conv2d,20,"{""spike"": 20}",204800000,73845640.0,58647752,0.3605744140625,0.2863659765625,3276800000.0,0.0,147691280.0,147691280.0,147691280.0,0.0,0.0,147691280.0
small,fp,fp,DAB_Block_6.DAB_Module_6_0.conv3x1.conv,conv2d,20,"{""spike"": 20}",102400000,43122184.0,35398632,0.421115078125,0.345689765625,4915200000.0,0.0,258733104.0,258733104.0,258733104.0,0.0,0.0,258733104.0
small,fp,fp,DAB_Block_6.DAB_Module_6_0.conv1x3.conv,conv2d,20,"{""spike"": 20}",102400000,40460200.0,33972968,0.395119140625,0.331767265625,4915200000.0,0.0,242761200.0,242761200.0,242761200.0,0.0,0.0,242761200.0
small,fp,fp,DAB_Block_6.DAB_Module_6_0.dconv3x1.conv,conv2d,20,"{""spike"": 20}",102400000,33231496.0,26762576,0.324526328125,0.26135328125,307200000.0,0.0,12461811.0,12461811.0,12461811.0,0.0,0.0,12461811.0
