source_id,miou_fp,miou_w4,miou_a4,miou_w4a4,miou_drop_w4a4,d_w4,mae_w4,prediction_flip_w4,d_a4,mae_a4,prediction_flip_a4,d_w4a4,mae_w4a4,prediction_flip_w4a4,d_full_minus_w4,d_full_minus_a4,mae_interaction
0119_4img3041,0.3432309957,0.1975057569,0.2927447251,0.1796314192,0.1635995765,0.1059555565,0.1247417424,0.5017416776,0.09229322187,0.1069027144,0.284479375,0.1157003631,0.1377746625,0.5267795395,0.009744806658,0.02340714127,-0.09386979432
0119_5img3001,0.484229954,0.2920580087,0.3880635961,0.2418204436,0.2424095105,0.105728568,0.1239087372,0.4919964803,0.09578736198,0.1107826807,0.3692657237,0.1144411472,0.1352373995,0.5243763816,0.008712579245,0.01865378523,-0.0994540185
DJI_0031,0.5719968419,0.276757818,0.4622499633,0.2155287937,0.3564680482,0.1055594685,0.1233214718,0.4123589991,0.08658595182,0.09843935876,0.2131513628,0.1126281691,0.1328150428,0.4893395207,0.007068700645,0.02604221729,-0.08894578776
DJI_00528,0.6398287063,0.2856819305,0.4429272945,0.2234966946,0.4163320117,0.1164656855,0.1384127232,0.3428455357,0.09361055408,0.1087284234,0.2675127585,0.1193059055,0.142403859,0.4465663534,0.002840219949,0.02569535137,-0.1047372876
DJI_00581,0.5961738998,0.1408844114,0.4081584471,0.1283690824,0.4678048174,0.1165821265,0.1382757063,0.6309395677,0.0940856838,0.1076559992,0.3347613957,0.120878126,0.1436640484,0.6973827303,0.004295999464,0.02679244221,-0.1022676571
DJI_00591,0.539807088,0.2274452244,0.3964713843,0.1492808304,0.3905262576,0.1130793533,0.1333125377,0.6074356673,0.09232508507,0.1061139775,0.3264316494,0.1188051762,0.1410283093,0.695206438,0.005725822947,0.02648009117,-0.09839820592
DJI_0291,0.5789909875,0.3821013552,0.5143035513,0.384217428,0.1947735595,0.09464178912,0.1079011816,0.2159523261,0.0738356063,0.08197981091,0.1027072838,0.09934515666,0.1139680476,0.2284465226,0.00470336754,0.02550955036,-0.07591294486
DJI_0303,0.6095461681,0.4583215001,0.5547782167,0.421695432,0.1878507362,0.1047980481,0.122983738,0.2784661654,0.08574074727,0.09842203566,0.1652312265,0.1108817866,0.1311186905,0.3427473919,0.006083738507,0.02514103932,-0.09028708311
DJI_0316,0.6789506656,0.5113032875,0.5890006529,0.4282933715,0.2506572941,0.09897834727,0.1150981588,0.1635415414,0.07584389602,0.08561654453,0.1039241776,0.1046211705,0.123110626,0.2242877585,0.005642823183,0.02877727443,-0.07760407727
DJI_0373_heda,0.4390419218,0.2819875102,0.3927460137,0.2441163184,0.1949256034,0.1014910986,0.1173513386,0.1898201598,0.06852057022,0.07572631982,0.09126734023,0.1037048779,0.1203833917,0.2117433976,0.002213779335,0.03518430767,-0.07269426675
DJI_0388,0.6210234411,0.5012241474,0.5769667029,0.4150428166,0.2059806246,0.09644808356,0.1107073383,0.2223706297,0.07395495051,0.08225581303,0.08822072368,0.1018314598,0.1182610965,0.2648900846,0.005383376193,0.02787650924,-0.07470205478
DJI_0397,0.6307200188,0.4426146706,0.5461881887,0.3648779118,0.265842107,0.1070386085,0.1251692234,0.2048948308,0.08777695986,0.09980289946,0.1450335056,0.1128192075,0.1332583787,0.2940567669,0.005780598987,0.02504224765,-0.09171374424
DJI_0406,0.6060490092,0.3925536561,0.5335846433,0.3622746931,0.2437743161,0.1071699461,0.1256039984,0.2594676692,0.08419753537,0.09521045742,0.1295514803,0.1113434369,0.1311392456,0.2797625,0.004173490785,0.02714590152,-0.0896752103
DJI_0415,0.4944495205,0.4192964883,0.4769948672,0.3673938584,0.1270556621,0.08890833647,0.099458768,0.08894158835,0.06591073531,0.07190169518,0.04544403195,0.09304199665,0.1053208844,0.1150762688,0.004133660177,0.02713126134,-0.06603957882
DJI_0431,0.7013309292,0.5766090333,0.6077849862,0.4755720416,0.2257588876,0.09749726474,0.1128661316,0.1102728148,0.07062954183,0.07857816922,0.07543519737,0.1019027874,0.1186093412,0.1513686795,0.004405522661,0.03127324558,-0.07283495964
DJI_0490,0.7218695198,0.4908508542,0.6577025973,0.4258777275,0.2959917923,0.09885875428,0.1142535147,0.221143609,0.07524040346,0.08385249368,0.09134346805,0.1038138543,0.1210329657,0.2843570254,0.004955099997,0.02857345082,-0.0770730427
DJI_0499_heda,0.609019616,0.3213702204,0.6023218882,0.3182738001,0.2907458159,0.1042340652,0.1233641175,0.3208976739,0.07025188509,0.07783175413,0.04697629229,0.1072121801,0.1278736272,0.3378600564,0.002978114895,0.03696029504,-0.0733222444
DJI_0511,0.7020634875,0.5489536796,0.6687224018,0.4923211645,0.209742323,0.09973416021,0.1150451256,0.1728839991,0.07477782031,0.08344025924,0.08889506579,0.1036553406,0.1204550761,0.2085695724,0.003921180341,0.02887752024,-0.07803030867
DJI_0520,0.7435942788,0.5616637257,0.6716499724,0.4785973838,0.2649968951,0.1019977428,0.1185929894,0.1779945959,0.07916273334,0.0894748882,0.1211320724,0.1075956602,0.1266418388,0.2471924107,0.005597917392,0.02843292686,-0.0814260388
DJI_0532,0.6743064683,0.527846959,0.5945453448,0.4056702134,0.2686362549,0.105550804,0.1236193642,0.1936197133,0.08824847254,0.1009391512,0.1528608553,0.1128899425,0.1340630294,0.3051496006,0.007339138529,0.02464146997,-0.09049548596
DJI_0539_heda,0.4385930729,0.3177315172,0.4179038707,0.3006076405,0.1379854324,0.1054004588,0.1214792909,0.1648146382,0.06954758536,0.07629106854,0.06241400376,0.1070539599,0.1234949521,0.180987641,0.00165350102,0.03750637449,-0.07427540728
DJI_0553_heda,0.6638106953,0.3368481752,0.6565655218,0.303358605,0.3604520904,0.1080444881,0.1272863865,0.2252075188,0.07120366603,0.07862626088,0.03945554511,0.1103303783,0.1306974077,0.2492921523,0.002285890155,0.03912671223,-0.07521523973
DJI_0563_heda,0.473508042,0.2584722774,0.4305041463,0.241226271,0.232281771,0.101595808,0.1179362917,0.3484190789,0.07283923659,0.08163096363,0.05447164004,0.1056383445,0.1241068185,0.3884894032,0.004042536517,0.03279910795,-0.07546043681
