rel_time_s,wall_time_s,power_w,temperature_c,gpu_util_pct,sm_clock_mhz,mem_clock_mhz,phase
1.9672107081860304,1783619458.1415434,128.602,34,27,2332,12481,active
1.9872789587825537,1783619458.1616201,128.884,34,27,2332,12481,active
2.0073655042797327,1783619458.1816986,128.884,34,27,2332,12481,active
2.027436563745141,1783619458.201769,128.884,34,27,2332,12481,active
2.047804344445467,1783619458.2221367,128.884,34,27,2332,12481,active
2.067881364375353,1783619458.2422142,128.884,34,27,2332,12481,active
2.0879620295017958,1783619458.2622948,127.874,34,28,2332,12481,active
2.108046980574727,1783619458.2823796,127.874,34,28,2332,12481,active
2.128142761066556,1783619458.3024817,127.874,34,28,2332,12481,active
2.1482425425201654,1783619458.322575,127.874,34,28,2332,12481,active
2.1683231871575117,1783619458.3426566,127.874,34,28,2332,12481,active
2.1884190794080496,1783619458.3627517,128.118,34,28,2332,12481,active
2.20849740691483,1783619458.3828337,128.118,34,28,2332,12481,active
2.2285996098071337,1783619458.4029326,128.118,34,28,2332,12481,active
2.248670071363449,1783619458.4230218,128.118,34,28,2332,12481,active
2.26875863596797,1783619458.4431071,128.118,34,28,2332,12481,active
2.288864355534315,1783619458.4631975,126.585,34,27,2332,12481,active
2.3089611679315567,1783619458.483299,126.585,34,27,2332,12481,active
2.329060835763812,1783619458.5033994,126.585,34,27,2332,12481,active
2.349160064011812,1783619458.5235074,126.585,34,27,2332,12481,active
2.369243735447526,1783619458.5435848,126.585,34,27,2332,12481,active
2.3893319349735975,1783619458.5636928,127.154,34,27,2332,12481,active
2.4094310514628887,1783619458.5837634,127.154,34,27,2332,12481,active
2.429527595639229,1783619458.6038604,127.154,34,27,2332,12481,active
2.449620082974434,1783619458.6239526,127.154,34,27,2332,12481,active
2.469687595963478,1783619458.6440213,127.154,34,27,2332,12481,active
2.4897796884179115,1783619458.6641123,128.701,35,28,2332,12481,active
2.5098658204078674,1783619458.6841981,128.701,35,28,2332,12481,active
2.5299563482403755,1783619458.704292,128.701,35,28,2332,12481,active
2.550178477540612,1783619458.7245271,128.701,35,28,2332,12481,active
2.57047769241035,1783619458.7448227,128.701,35,28,2332,12481,active
2.5906040091067553,1783619458.7649395,128.317,34,28,2332,12481,active
2.6107847560197115,1783619458.78513,128.317,34,28,2332,12481,active
2.6309294160455465,1783619458.8052697,128.317,34,28,2332,12481,active
2.651065643876791,1783619458.8254066,128.317,34,28,2332,12481,active
2.6711784470826387,1783619458.845514,128.317,34,28,2332,12481,active
2.6912730000913143,1783619458.8656156,128.317,35,28,2332,12481,active
2.7114123832434416,1783619458.8857505,128.317,35,28,2332,12481,active
2.7315330151468515,1783619458.905871,128.317,35,28,2332,12481,active
2.7516371235251427,1783619458.9259756,128.317,35,28,2332,12481,active
2.7717761024832726,1783619458.946114,128.317,35,28,2332,12481,active
2.7919368110597134,1783619458.9662957,128.17,34,28,2332,12481,active
2.8120944630354643,1783619458.9864347,128.17,34,28,2332,12481,active
2.832200212404132,1783619459.0065424,128.17,34,28,2332,12481,active
2.8523157630115747,1783619459.026658,128.17,34,28,2332,12481,active
2.8724640868604183,1783619459.0467997,128.17,34,28,2332,12481,active
2.8925917129963636,1783619459.0669277,128.183,34,28,2332,12481,active
2.912735803052783,1783619459.0870795,128.183,34,28,2332,12481,active
2.9328744765371084,1783619459.1072128,128.183,34,28,2332,12481,active
2.952982820570469,1783619459.1273248,128.183,34,28,2332,12481,active
2.973269071429968,1783619459.1476073,128.183,34,28,2332,12481,active
2.9933847542852163,1783619459.167726,127.824,34,28,2332,12481,active
3.0135128274559975,1783619459.187849,127.824,34,28,2332,12481,active
3.0336127392947674,1783619459.207956,127.824,34,28,2332,12481,active
3.0537392031401396,1783619459.2280753,127.824,34,28,2332,12481,active
3.0738467909395695,1783619459.248204,127.824,34,28,2332,12481,active
3.0939731914550066,1783619459.2683134,127.291,34,27,2325,12481,active
3.1141049787402153,1783619459.2884433,127.291,34,27,2325,12481,active
3.134237337857485,1783619459.3085825,127.291,34,27,2325,12481,active
3.1543605402112007,1783619459.32872,127.291,34,27,2325,12481,active
3.1745284479111433,1783619459.348871,127.291,34,27,2325,12481,active
3.194642571732402,1783619459.3689785,127.402,35,27,2325,12481,active
3.214782167226076,1783619459.3891225,127.402,35,27,2325,12481,active
3.2349451165646315,1783619459.4092822,127.402,35,27,2325,12481,active
3.255103588104248,1783619459.4294443,127.402,35,27,2325,12481,active
3.2752308510243893,1783619459.4495692,127.402,35,27,2325,12481,active
3.2953423764556646,1783619459.4696817,129.379,35,28,2325,12481,active
3.3154546227306128,1783619459.4898179,129.379,35,28,2325,12481,active
3.33561572432518,1783619459.5099604,129.379,35,28,2325,12481,active
3.355749271810055,1783619459.5301108,129.379,35,28,2325,12481,active
3.3759281933307648,1783619459.5502915,129.379,35,28,2325,12481,active
3.3961246702820063,1783619459.5704947,129.287,35,28,2325,12481,active
3.4163076635450125,1783619459.590665,129.287,35,28,2325,12481,active
3.436474598944187,1783619459.6108315,129.287,35,28,2325,12481,active
3.456646943464875,1783619459.631015,129.287,35,28,2325,12481,active
3.476823227480054,1783619459.6511834,129.287,35,28,2325,12481,active
3.49700322560966,1783619459.671359,128.94,35,27,2325,12481,active
3.5174870882183313,1783619459.6918483,128.94,35,27,2325,12481,active
3.5376416444778442,1783619459.71201,128.94,35,27,2325,12481,active
3.557815920561552,1783619459.7321708,128.94,35,27,2325,12481,active
3.5779902022331953,1783619459.7523475,128.94,35,27,2325,12481,active
3.598153505474329,1783619459.772502,129.321,35,27,2332,12481,active
3.6183341909199953,1783619459.7926822,129.321,35,27,2332,12481,active
3.638485621660948,1783619459.8128495,129.321,35,27,2332,12481,active
3.6587161757051945,1783619459.8330665,129.321,35,27,2332,12481,active
3.678877580910921,1783619459.8532274,129.321,35,27,2332,12481,active
3.699033619835973,1783619459.873395,129.362,35,28,2332,12481,active
3.7192221228033304,1783619459.8936138,129.362,35,28,2332,12481,active
3.7394846118986607,1783619459.913844,129.362,35,28,2332,12481,active
3.7596692964434624,1783619459.9340317,129.362,35,28,2332,12481,active
3.7798890061676502,1783619459.9542458,129.362,35,28,2332,12481,active
3.80004626698792,1783619459.9743993,129.118,35,28,2332,12481,active
3.8202001471072435,1783619459.9945905,129.118,35,28,2332,12481,active
3.840378511697054,1783619460.0147264,129.118,35,28,2332,12481,active
3.8605059552937746,1783619460.0348516,129.118,35,28,2332,12481,active
