rel_time_s             , wall_time_s       , power_w, temperature_c, gpu_util_pct, sm_clock_mhz, mem_clock_mhz, phase
 0.6538484189659357    , 1783619954.4562266, 129.199,            35,           28,         2325,         12481, active
 0.6743672881275415    , 1783619954.4767528, 129.199,            35,           28,         2325,         12481, active
 0.6944431029260159    , 1783619954.4968204, 129.199,            35,           28,         2325,         12481, active
 0.7145273834466934    , 1783619954.5169058, 129.199,            35,           28,         2325,         12481, active
 0.7346116676926613    , 1783619954.5369902, 128.625,            36,           28,         2325,         12481, active
 0.754699170589447     , 1783619954.5570767, 128.625,            36,           28,         2325,         12481, active
 0.7747880630195141    , 1783619954.5771654, 128.625,            36,           28,         2325,         12481, active
 0.7948656175285578    , 1783619954.5972536, 128.625,            36,           28,         2325,         12481, active
 0.814945787191391     , 1783619954.6173232, 128.625,            36,           28,         2325,         12481, active
 0.8350290879607201    , 1783619954.6374068, 128.823,            36,           28,         2325,         12481, active
 0.8551195431500673    , 1783619954.6574972, 128.823,            36,           28,         2325,         12481, active
 0.8751999419182539    , 1783619954.6775775, 128.823,            36,           28,         2325,         12481, active
 0.8956730682402849    , 1783619954.6980588, 128.823,            36,           28,         2325,         12481, active
 0.9157592002302408    , 1783619954.7181425, 128.823,            36,           28,         2325,         12481, active
 0.9358409773558378    , 1783619954.7382185, 128.727,            36,           28,         2325,         12481, active
 0.9559231083840132    , 1783619954.7583082, 128.727,            36,           28,         2325,         12481, active
 0.9760329723358154    , 1783619954.7784102, 128.727,            36,           28,         2325,         12481, active
 0.9961284641176462    , 1783619954.7985108, 128.727,            36,           28,         2325,         12481, active
 1.0162099692970514    , 1783619954.818587 , 128.727,            36,           28,         2325,         12481, active
 1.0362870749086142    , 1783619954.8386683, 128.68 ,            36,           28,         2325,         12481, active
 1.056391490623355     , 1783619954.8587742, 128.68 ,            36,           28,         2325,         12481, active
 1.0764921437948942    , 1783619954.8788803, 128.68 ,            36,           28,         2325,         12481, active
 1.0965837147086859    , 1783619954.8989613, 128.68 ,            36,           28,         2325,         12481, active
 1.1166656352579594    , 1783619954.9190435, 128.68 ,            36,           28,         2325,         12481, active
 1.1367566958069801    , 1783619954.9391341, 129.996,            36,           28,         2325,         12481, active
 1.1568356789648533    , 1783619954.9592135, 129.996,            36,           28,         2325,         12481, active
 1.176941780373454     , 1783619954.9793193, 129.996,            36,           28,         2325,         12481, active
 1.197036288678646     , 1783619954.9994245, 129.996,            36,           28,         2325,         12481, active
 1.2171352710574865    , 1783619955.0195127, 129.996,            36,           28,         2325,         12481, active
 1.2372003849595785    , 1783619955.0395782, 129.794,            36,           28,         2325,         12481, active
 1.257277524098754     , 1783619955.059661 , 129.794,            36,           28,         2325,         12481, active
 1.277358179911971     , 1783619955.0797443, 129.794,            36,           28,         2325,         12481, active
 1.2974426355212927    , 1783619955.0998209, 129.794,            36,           28,         2325,         12481, active
 1.3175613638013601    , 1783619955.1199505, 129.794,            36,           28,         2325,         12481, active
 1.3376471921801567    , 1783619955.1400342, 130.239,            36,           28,         2325,         12481, active
