effective_batch,images_per_second,input_residency,loss,method,mode,peak_allocated_bytes,peak_reserved_bytes,phase_backward_seconds,phase_bptt_backward_seconds,phase_host_to_device_seconds,phase_loss_seconds,phase_optimizer_step_seconds,phase_snn_forward_seconds,phase_student_forward_seconds,phase_teacher_forward_seconds,physical_batch,round,seconds_per_image,steady_allocated_bytes,time_steps,trial,wall_seconds
4,10.99264711464158,gpu,1.8811564445495605,squat,matched,15115188224,20786970624,,0.21533541870117187,,0.00010310400277376175,0.002817536115646362,0.1432452087402344,,,4,4,0.0909698992036283,45798912,8,0,0.3638795968145132
4,11.056388739162779,gpu,1.8518215417861938,squat,matched,15115188224,20786970624,,0.21456742858886718,,0.00010259199887514115,0.0024895360469818113,0.1423407745361328,,,4,4,0.09044544503558427,45798912,8,1,0.3617817801423371
4,11.104241528870297,gpu,1.6223186254501343,squat,matched,15115188224,20786970624,,0.21465647888183595,,0.00010096000134944915,0.002438431978225708,0.14082464599609376,,,4,4,0.0900556780397892,45798912,8,2,0.3602227121591568
4,11.070114136606795,gpu,1.5891371965408325,squat,matched,15115188224,20786970624,,0.21442198181152344,,0.00010115200281143188,0.002439296007156372,0.1421700134277344,,,4,4,0.09033330529928207,45798912,8,3,0.3613332211971283
4,11.104593182089578,gpu,1.5416569709777832,squat,matched,15115188224,20786970624,,0.2142888641357422,,0.00010255999863147736,0.0024334399700164794,0.14119136047363282,,,4,4,0.0900528262136504,45798912,8,4,0.3602113048546016
4,11.11000443185202,gpu,1.5033520460128784,squat,matched,15115188224,20786970624,,0.2141046142578125,,0.00010195200145244598,0.002419487953186035,0.14121359252929688,,,4,4,0.09000896499492228,45798912,8,5,0.3600358599796891
4,11.107643940621786,gpu,1.3882770538330078,squat,matched,15115188224,20786970624,,0.21427452087402343,,0.00010201600193977356,0.0024333438873291014,0.14109344482421876,,,4,4,0.0900280928472057,45798912,8,6,0.3601123713888228
4,11.110381971903948,gpu,1.3689615726470947,squat,matched,15115188224,20786970624,,0.21431336975097656,,0.00010089600086212158,0.002421504020690918,0.14098028564453124,,,4,4,0.09000590641517192,45798912,8,7,0.3600236256606877
4,11.117934035115098,gpu,1.311004638671875,squat,matched,15115188224,20786970624,,0.21424896240234376,,0.00010198400169610977,0.002431999921798706,0.14078810119628907,,,4,4,0.0899447682313621,45798912,8,8,0.3597790729254484
4,11.064136407090098,gpu,1.2208712100982666,squat,matched,15115188224,20786970624,,0.21581465148925782,,0.00010192000120878219,0.0024173760414123533,0.14096966552734375,,,4,4,0.09038211056031287,45798912,8,9,0.36152844224125147
4,11.110122362762317,gpu,1.2088593244552612,squat,matched,15115188224,20786970624,,0.2142191925048828,,0.00010262399911880493,0.002408031940460205,0.14106614685058594,,,4,4,0.09000800957437605,45798912,8,10,0.3600320382975042
4,11.114717150187802,gpu,1.178568959236145,squat,matched,15115188224,20786970624,,0.21423353576660156,,0.00010262399911880493,0.002418207883834839,0.14088272094726562,,,4,4,0.08997080055996776,45798912,8,11,0.359883202239871
4,11.130468602995347,gpu,1.1713643074035645,squat,matched,15115188224,20786970624,,0.21422230529785155,,0.00010204800218343735,0.0024031999111175538,0.14041661071777345,,,4,4,0.08984347700607032,45798912,8,12,0.35937390802428126
4,11.11546884056216,gpu,1.133368730545044,squat,matched,15115188224,20786970624,,0.21426742553710937,,0.00010208000242710113,0.002584736108779907,0.14057907104492187,,,4,4,0.0899647162295878,45798912,8,13,0.3598588649183512
4,11.104526372436801,gpu,1.1174132823944092,squat,matched,15115188224,20786970624,,0.21456944274902343,,0.00010035199671983719,0.0025167360305786133,0.1407947540283203,,,4,4,0.09005336801055819,45798912,8,14,0.36021347204223275
4,11.094618582862497,gpu,1.0558280944824219,squat,matched,15115188224,20786970624,,0.2142592010498047,,0.00010195200145244598,0.0024378879070281983,0.14147116088867187,,,4,4,0.0901337880641222,45798912,8,15,0.3605351522564888
4,10.994657014224638,gpu,1.0540131330490112,squat,matched,15115188224,20786970624,,0.21425205993652344,,0.00010214400291442871,0.002423840045928955,0.14482266235351562,,,4,4,0.09095326927490532,45798912,8,16,0.3638130770996213
4,11.121418638352115,gpu,1.0427465438842773,squat,matched,15115188224,20786970624,,0.21427247619628906,,0.00010262399911880493,0.0024099199771881103,0.14064576721191407,,,4,4,0.08991658641025424,45798912,8,17,0.35966634564101696
