trial,phase,rel_time_s,wall_time_s,power_w,temperature_c,gpu_util_pct,sm_clock_mhz,mem_clock_mhz
5,idle_pre,9.721824061125517,1783675891.4715216,83.527,35,0,2257,12481
5,idle_pre,9.822089441120625,1783675891.5717866,83.527,35,0,2257,12481
5,idle_pre,9.922311075031757,1783675891.6720078,83.527,35,0,2257,12481
5,active,0.00039965100586414337,1783675891.7514741,83.041,35,0,2257,12481
5,active,0.10061819478869438,1783675891.851701,85.395,35,0,2257,12481
5,active,0.20088701881468296,1783675891.9519775,90.822,36,42,2257,12481
5,active,0.3011337388306856,1783675892.0522134,94.176,36,42,2257,12481
5,active,0.4014327712357044,1783675892.1525142,97.306,36,43,2257,12481
5,active,0.5016739666461945,1783675892.252755,100.204,36,43,2257,12481
5,active,0.6019044108688831,1783675892.3529942,102.741,36,43,2257,12481
5,active,0.7021788153797388,1783675892.4532657,105.756,36,43,2257,12481
5,active,0.8024609182029963,1783675892.5535693,107.941,36,43,2257,12481
5,active,0.902769299224019,1783675892.6538332,110.002,36,43,2257,12481
5,active,1.0029058158397675,1783675892.7539744,140.625,37,43,2257,12481
5,active,1.1031080316752195,1783675892.854221,141.39,37,43,2257,12481
5,active,1.2033962830901146,1783675892.9545019,144.861,37,43,2257,12481
5,active,1.3036780711263418,1783675893.0547912,145.755,37,43,2257,12481
5,active,1.4040131345391273,1783675893.1551247,147.212,37,43,2257,12481
5,active,1.5043040830641985,1783675893.2553875,147.988,37,43,2257,12481
5,active,1.604500263929367,1783675893.3555617,147.568,37,43,2257,12481
5,active,1.7046402767300606,1783675893.4557016,146.013,37,43,2257,12481
5,active,1.8048128318041563,1783675893.5558991,145.301,37,43,2257,12481
5,active,1.9051020108163357,1783675893.6561863,144.06,37,43,2257,12481
5,active,2.0053663682192564,1783675893.7564461,143.133,37,43,2257,12481
5,active,2.105606846511364,1783675893.8567169,141.781,37,43,2257,12481
5,active,2.205832516774535,1783675893.956899,141.559,37,43,2257,12481
5,active,2.305977886542678,1783675894.0570338,140.227,37,43,2257,12481
